Question,Option A,Option B,Option C,Option D,Correct Answer
HTTP is a,stateless protocol,stateful protocol,both stateless and stateful,neither stateful nor stateless,A
In an email id the prefix refers to,domain name,IP address,user name,Both (A) and (C),D
FIFO scheduling is,preemptive scheduling,non-preemptive scheduling,deadlock scheduling,fare-share scheduling,B
In which page replacement policy Belady's anomaly may occur?,FIFO,Optimal,LRU,MRU,A
[Complex scheduling problem with process details],Various computation results are provided,Multiple scheduling results,Multiple scheduling results,Multiple scheduling results,Requires complex calculation
In round robin scheduling as the time quantum is increased the average turn-around time,increases,decreases,remains constant,varies irregularly,B
Where does the swap space reside?,RAM,Disk,ROM,on-chip cache,B
The total number of maturity levels in CMM is,1,3,5,7,C
Which one is a size measure for software?,LOC,Function points,Cyclomatic complexity,Hall's program length,A
The most desirable form of coupling is,content coupling,data coupling,control coupling,None of the above,B
Regression testing is primarily related to,functional testing,data flow testing,development testing,maintenance testing,D
Cyclomatic complexity is equal to,number of independent paths,number of paths,number of edges,number of vertices,A
The maximum possible value of reliability is,100,10,1,0,C
MTBF stands for,mean time between failures,maximum time between failures,minimum time between failures,Both (A) and (B),D
A circular list can be used to represent,stack,queue,tree,Many time between failures,B
Segmentation is done in,transport layer,network layer,data-link layer,physical layer,A
Routing is done in,network layer,physical layer,data-link layer,transport layer,C
The data transfer in which data transfer is to be done quickly is,programmed I/O,interrupt I/O,DMA,None of the above,B
The ability to temporarily halt the CPU and use this time to send information on buses is called,direct memory access,vectoring the interrupt,polling,cycle stealing,D
Register variable is stored in,processor,RAM,ROM,peripheral memory,A
Operand is fetched from memory during,fetch phase,execute phase,decode phase,read phase,B
Which of the following prints the fastest,Dot matrix printer,Laser printer,DeskJet printer,None of the above,B
What is the purpose of Typecasting?,To create new data types,To change the data type of a variable,To convert the data stored in a variable to a different type before using it as expression,To prevent the loss of data when passing values to function,C
Assembly language statement for action is called,assembler directive,imperative statement,declarative statement,None of the above,B
The language is,regular language,CFL,both regular and CFL,neither regular nor CFL,B
COCOMO means,constructive cost model,cost constructive model,constructive cost mode,constructive cost modeling,A
The term 'instantiation' refers to the creation of,a class from a blueprint,an object from a class,a method from an object,a property from a method,B
Inheritance makes it easier to,reuse and modify existing modules of code,write and read code by sharing method,hide and protect data from external code,Both (A) and (B),D
What does IDE stand for?,Integrated development environment,Integrated design environment,Interior development environment,Interior design environment,A
An exception is another name for a,compile error,logic error,runtime error,syntax error,C
The scope of a variable is,data,name,functional,All of the above,D
Which is most appropriate for sword string?,scan,get,get,get,Requires clarification due to incomplete options
Find the odd one considering C language.,a= a+ l,a+= l,a++,a=+l,D
Match the following (requires table interpretation),Multiple mapping options provided,Requires detailed interpretation,Varies based on mapping,Multiple mapping possibilities,Requires detailed interpretation
Sequential representation of a binary tree is efficient when the binary tree is,complete,almost complete,threaded tree,Both (A) and (B),D
To avoid race condition the number of processes that may be simultaneously inside the critical section is,3,2,1,0,C
Which of the following converts the high-level language into machine language?,Opcode,Operand,Compiler,ALU,C
What is the number of functions involving n variables?,n2,2n,2n-,n-1,C
In Linux system each process block is,various process-related details,Multiple interpretation options,Multiple interpretation options,Multiple interpretation options,Requires specific context
Test specification is,Multiple test-related interpretations,Multiple options provided,Multiple options provided,Multiple options provided,Requires detailed context
Number of processes completed per unit time is known as,output,throughput,efficiency,capacity,B
What is performed through the entire duration of the project?,risk monitoring,risk projection,risk identification,risk assessment,C
